源声编码,源声描述,源声来源,观点编号,观点类别
201701bbs0000254,苹果6s和vivox9选那个?急，在线等! 事情是这样的，我是学生党，目前用的是华为p7，现在感觉太卡，于是想换一部，母亲大人掏钱买，然后我说想买小米5我妈不肯说质量太差，手机店都没人买 ，她自己也是手机店卖手机的，于是我说联想zukz2，我妈说联想掉价快，现在都没人买了 ，然后我说360n4s，我妈说没听过，杂牌，那行，您说买什么吧？于是我妈就说看中了vivox9，我网上查了下x9cpu还不如x7的。。。。不知道我妈看中了那点，然后现在x9都买回来了，我妈看我不中意就说不中意就和她的苹果6s换，so，各位吧友们，我是用x9好还是和我妈换呢？ ps:6s用了快一年了吧,百度贴吧,VPAD0002E001,其他慢/卡顿(需备注程序名及重现步骤)
201701bbs0000267,vivox9plus很费电 有同感的吗,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0000318,OPPOr9s和vivox9和华为p9哪个最好 妈的现在手里这红米用了一年，充满电后连着用半个小时就没电了，两个室友也是这样。现在要换手机了，续航时间最长的才是我要的，其次是拍照，各位吧友给我点建议。,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0000350,y67感觉耗电很厉害， ,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0000355,vivo Xplay6 评估说vivo xplay6拍照功能强过iphone 7puls双摄 性能也不输与苹果 用过的吧友觉得这评估是不是真的,百度贴吧,VPAD0001E001,性能整体感受好
201701bbs0000384,vivox7卡卡卡！ 进入QQ留言板界面就返回不了了 x7用户有这种情况吗？3,百度贴吧,VPAD0002E001,其他慢/卡顿(需备注程序名及重现步骤)
201701bbs0000400,"不得不说我的XSHOT还真是耐用，前天泡水…… RT\t前天掉水桶里头了，我在洗头没顾上捞，大概泡了持续有20秒吧，我也是不对劲儿不知道为啥当时没捞出来，哦对了当时头发上都是泡沫，眼睛疼。捞出来发现屏幕还亮着，各种功能一切正常，赶紧晾着，连后盖都没拆。洗完头再看手机，先是点触亮屏失灵，然后是开机可以，关机不能，音量键低可以，高失灵，拍摄键要按多次才能进去拍摄。其他一切正常。摄像头有点雾，因为我的镜片早就裂了，不知道里面进水没有。\t凉了半天我才想起要把后盖拆了晾，拆了后盖，发现电池和机身上都是水我的个妈呀，赶紧用卫生纸擦了。然后接着晾。一会儿想到把手机卡和内存卡拆了是不是会晾的更快，就把这两个也拆了放到一边，拆完这两货拿在手上甩了甩，不知道能不能把水甩干净。这期间可以打电话,WIFI好像有点弱了，通话语音正常。\t就这么晾晒了一天，期间都是开窗户晾的，妈呀冻死我了。中间冲过一次电，因为我怕开不了机。\t前后大概有三天时间吧，昨天又凉了一天，发现没鸟用，失灵的还是失灵，干脆插上卡用，晚上充电，今天去售后看看的，结果坐公交车坐到售后的楼下面，发现触摸亮屏好了，音量键高也可以用了，开关机也好了，除了拍摄键要按几次或者长按才能进去外，一切正常，哦对了，电池好像没以前耐用。其他都好。希望以后不要有问题。哈哈。暂时不用修了。\t有个朋友告诉我说这几天是水逆。\t对了这几天还在打算要不要买个XPALY3S，但担心是官方翻新机没敢入，Y66吧是触摸键不怎么灵敏，感觉很微弱，Y67吧是屏幕不行，处理器用的联发科。X9吧性价比不值那个价格，屏幕也水，2000左右的价格还差不多。",百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0000426,不吹不黑，vivo x9除了625以外，其他的都挺好的 ，外观漂亮，屏幕三星屏幕，HiFi音质，拍照也挺好，，可能黑点就是充电接口，,百度贴吧,VPAD0459E001,外观好看
201701bbs0000446, x9p机身要比x9大很多吗？本人不太喜欢大屏 可听说x9p音质 续航都要比x9好！想入手！可屏幕又太大！好纠结阿！话说去实体店买真的可以砍价？,百度贴吧,VPAD0385E001,外放音质好
201701bbs0000466,刚买的x9发现100到99掉电好快 ,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0000485,感觉X9plus电量不抗用。 感觉X9plus，电量不抗用啊。有没有什么方法测试一下电池抗不抗用。,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0000494,01-08求助☆求助求助，生日礼物手机！ 过生日，要送我手机，价位三千左右吧，留着过年玩，续航好点，充电快一些，性能强悍的，系统好些的，不喜欢刷机。平时QQ基本不离手，偶尔玩个游戏，自拍能看就行，不太注重。目前看了一加3t，zuk edge ，小米note2，oppo r9s，vivo x9，华为p9。或者更好的。求个推荐，谢谢吧友们！,百度贴吧,VPAD0101E001,待机或使用时间长
201701bbs0000534,oppo r9s和vivo x9那个比较好 是不是oppo拍照好点，vivo音质和屏幕好点，好像一个AMOLED一个super AMOLED,百度贴吧,VPAD0385E001,外放音质好
201701bbs0000554,关于x7 耗电就不说了 新机第三天 不到两个小时贴吧玩下来就剩百分之75了？\t玩游戏还了得？\t注意后台全清了\t还有网速太垃圾了信号时好时坏怪不得耗电比重占百分之20多\t相册居然没有移动功能\t文件夹也没有移动 创建 功能\t就不能优化稍微好点？\t这个贴要是删了那我也是服了,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0000558,求回复 各位友友的vivo x7待机怎么样啊，我的待机时间现在好短啊，是我电池的问题吗？,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0000562,拍照方面我挺喜欢的 音质也不错 发几张我拍的图,百度贴吧,VPAD0082E002,拍照效果好
201701bbs0000566,vivox9 为什么我在店里买的手机总是卡？柔光灯卡了两分钟关机才灭掉。看电视聊扣扣经常闪退,百度贴吧,VPAD0002E001,其他慢/卡顿(需备注程序名及重现步骤)
201701bbs0000573,坑 感觉x9就是个坑 亮度有问题 手机耗电快 2798的售价 798的成本 1500的广告费 500的经销商利润,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0000609,使用x9olus心得 30号买来到现在也有一星期了，总体来说手机没有什么缺点，就是截图太麻烦了没有oppo的三只手指方便。配件方面很不满意，耳机太一般了，3000多的手机就不能给个好点的耳机吗，细节很重要，希望vivo以后能越做越好。,百度贴吧,VPAD0277E001,支持vivo
201701bbs0000650,vivo x9 坑爹的x9.运行速度缓慢触屏灵敏度不好，单手上拉网页反应迟钝，要直线拉，单手大拇指不是直线上拉网页偶尔没反应，返回键也是有时要触摸两下，云备份不能自动备份照片，要是格式化了所有东西全会没了，电量只能管一天，手机更没有骚扰拦截功能，屏幕膜不好稍微用力就有凹凸痕迹，要是在百度云下载的照片到手机都是乱七八糟不按先后顺序给你存放，说是4g运行内存，打开一看只有1g多点！此生再不买vivo手机,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0000696, 为什么我的x7这几天耗电超级快啊,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0000714,12315举报vivo公司了 本人在2016年9月购买了一台vivo x7手机，当初因为vivo宣传比较好，所以购买初期还是比较满意。可是在使用一段时间后发觉vivofuntouch os2.5系统体验并不好，有网络差、功能不完善和不少功能付费等现象，而且更新周期长，更新力度小，更新后耗电严重。在11月份时vivo公司趁着发布一款新产品时推出了最新研发的funtouch os3.0系统，当时抱着买了他们公司旗舰产品的心理，对这款最新的系统十分期待，但是发布会结束才了解到，只有最新发布的手机可以使用最新的系统。于是开始对vivo公司失望了，我抱着理性的态度去联系客服，提出自己作为一个消费者期待使用最新系统的建议后，他们表示之后将继续对产品进行适配。于是按照他们公司的研发周期到了2017年1月5日，根据公告报名了系统内测活动，结果到了承诺的1月6日却并没有收到之前承诺的推送，当我在官方论坛提出质疑时还被进行了封号处理。并且vivo没有一个公正的说法，我认为此举损害了一个消费者的知情权与公平交易权，他们在进行售卖商品时后并没有对产品进行定期的维护和保证售后服务，严重损伤了消费者的信任，我表示抗议，对他们提出举报！,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0000736,x7现在系统最新版 徽信视频开流量，20分钟烫的不行，而且电量掉的离谱,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0000772,"晒一晒新买的vivox9, 刚刚用了一下，确实很好用，wifi速度真是快，外放音质不错，最好的是拍照了，2000块买的，4g+128g已经用评测是真机，有发票什么的都有，还有一个屏保。这样还可以吧！！！",百度贴吧,VPAD0385E001,外放音质好
201701bbs0000786,你们的x9plus耗电情况怎么样？ 手机反应是挺快的，买来用了几天，今天特意试了下续航从7点到11点15一共用了20%的电，就刷贴吧而已，屏幕调到最低，正常吗？昨天拿用了4个月的x7plus相比，x9plus续航实在是太差了感觉跟x7plus完全不是一个档次。x7plus全是良心机用了这么久性能还是很流畅，续航能力不是一般的强。x9plus除了反应快一点根本没其他优势，这是真心体会，那些叫好的就呵呵了，想入的慎重啊！！希望vivo公司多在处理器和续航方面多做文章，广告再好 配置跟不上，迟早要GG,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0000814,vivox6晚上46的 为什么。就是开超级省电的时候，它根本不省电！有时候开智能省电才会省一点。这是手机问题？到底是哪的问题。我同学也是同样的手机第二天人家就耗一个电！！ 求指教,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0000825,X7昨天更新之后越来越卡！！！！ 大家都是这样吗？农药卡死了！,百度贴吧,VPAD0002E001,其他慢/卡顿(需备注程序名及重现步骤)
201701bbs0000831,vivo x9手机掉电快的进来 就光玩QQ 微信，看视频就下电特别快，一天要冲两三次。,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0000846,x9电池问题 充电完成后拔掉待机25分钟掉了百分之三的电，觉得挺恐怖的，没有运行任何后台程序,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0000892,你们有这种情况吗？ 拍照挺好用的，很喜欢，但是不知道你们会不会和我一样，这个手机发热特快，我在被子玩手机，一边是 vivo x9plus 一边是vivo x5 Pro x9 plus 一会就烫手了，而x5 Pro 都还没反应 你们有这种情况吗？下面是自己拍的照片，给大家看看,百度贴吧,VPAD0082E002,拍照效果好
201701bbs0000908,关于电量 为什么x9待机电量用的那么快，都是这样还是，手机有问题？？？,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0000948,求大神指教 我的vivo晚上睡前充电，第二天起床后发现自动关机了，开机只有百分之96的电？？,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0000975,求助求助希望小伙伴能帮帮我QAQ 我的是x7才买一个多月，感觉自从在生活老师那里充了一次电之后，电就用得特别快，我觉得是有了虚电，但是又不像网上说的一打电话少大半，就是觉得用得比平时快了。求大神帮助，这是正常的吗？大概十分钟用六七，这是手机电池出问题了吗？？,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0001000,有没有人觉的x9掉电好快 充电到99，20分钟就93了，记得以前手机90以上的电掉的很慢的,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0001010,入手x9星空灰 感觉不卡 ,百度贴吧,VPAD0001E001,性能整体感受好
201701bbs0001020,想入手 听他们说x9更新很耗电，vivo系统会不会强制更新？前置摄像头照相怎么样,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0001024,vivo X9更新后卡顿 从1.17.2升上来的，1.17.2非常流畅，真的丝滑现在1.18.7感觉很卡，你们呢？,百度贴吧,VPAD0002E001,其他慢/卡顿(需备注程序名及重现步骤)
201701bbs0001067,刚刚入手x9两个小时整。 买来87％的电，用了两个小时整，现在还有68％，期间玩游戏逛贴吧用最大音量听歌，续航感觉还挺好的。本来想买x7p的，可是听说早就停产了，买来的都是翻新机，就不敢买了。说一说用两个小时的感受。优点：感觉x9很漂亮，电池耐用，音量个和音质好，wifi给力。缺点：一点系统更新就自动更新了，都没有选择性，停都停不下来，我还想用出厂版本呢就给我更新了！死气啊。还有就是内存，刚买来还有2.3g，然后我用着用着就只有1.38g了，这是怎么回事呢，我已经卸载了除QQ个歌和微信以外的软件啊！以上就是我用两个小时的感受。总体来说还不错，顺便说一下，指纹解锁真心快！,百度贴吧,VPAD0459E001,外观好看
201701bbs0001142,x9电池不怎么耐用 这个手机，买来还不到1个月，充电充满了在开始从100%到85%可能都用不到40分钟，这个是怎么回事,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0001146,x9puls 使用这手机了，半个月了，使用超耗电待机状态也耗电，然后现在时不时死机，延迟卡顿，我想问下这手机咋啦，毕竟是3500的机子，有这个渣么,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0001185,"nx9用了一个月，已经觉得卡了 近卫军团 支持贴吧小说~, 去领取 活动截止:2025-12-31 去徽章馆》",百度贴吧,VPAD0002E001,其他慢/卡顿(需备注程序名及重现步骤)
201701bbs0001202,今天刚入手了x9 最后一天去移动大厦入手x9，之前看过，但是没研究怎么样，现在用着还不错??,百度贴吧,VPAD0275E001,喜爱/好用
201701bbs0001206,vivox9卡顿 有的app比如微信 探探 想要打开的时候 点了 然后图标暗了一会 过了一会才打开 怎么解决这个问题,百度贴吧,VPAD0002E001,其他慢/卡顿(需备注程序名及重现步骤)
201701bbs0001224,前天刚刚买的x9 感觉还不错，用起来不像别人说的那样卡，现在打王者荣耀一点都不卡，以后在看看了,百度贴吧,VPAD0275E001,喜爱/好用
201701bbs0001244,x9为什么卡 抢红包连乐2都比不过。看个网页慢的要死。最新版本,百度贴吧,VPAD0002E001,其他慢/卡顿(需备注程序名及重现步骤)
201701bbs0001260,前天入手x9p 自动录音好像没有了，SRS也没了，续航的话我觉得还不错，充电大约一个小时左右充满，某东买的，就一个移动电源和小v蓝牙音箱。,百度贴吧,VPAD0101E001,待机或使用时间长
201701bbs0001273,三星c9pro vivox9plus oppor9plus 比较喜欢拍景色，??大神帮选一下这三个哪个好？求评论（三星的外观好看，vivo前置像素好，但朋友都说oppo好，纠结）,百度贴吧,VPAD0459E001,外观好看
201701bbs0001289,x9为啥掉电如此快 我没玩游戏就聊聊天 我是看着它一格一格掉 你们的9也是吗 我感觉掉电比我的r9还快,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0001299,X9系统更新后卡机闪退重启还有杂音 昨天出了新版本 手贱更新了\t手机没磕没碰 晚上因为没电自动关机了\t今天打开的时候我的天卡死我了\t经常卡屏闪退然后重启\t不管是玩游戏还是打开应用\t都会突！然！卡！住！然！后！重！启！\t播放音乐的时候带有吱吱的声音\t不光是播放音乐 就连打字的时候都有\t不知道要怎么办了唉\t明天打算去找售后 就是提醒下大家\t更新需谨慎 不然一生恨啊,百度贴吧,VPAD0002E001,其他慢/卡顿(需备注程序名及重现步骤)
201701bbs0001300,vivox9plus关于电池续航问题 晚上23:19睡觉还有62％电量到早上7:24醒来剩余53％，才入手一天这续航感觉不怎么样啊，是不是入坑了 还有现在用的这个版本要不要更新，欢迎大家来脑补,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0001320,希望官网放出，172或以前的固件， 现在这系统续航渣的，我想砸手机??,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0001329, 本人新买的正品vivox9plus手机， 8核64g全网通，5.8寸超大屏 ，顺电实体店购买，原装正品，2017年1月21号购买，到现在用了不到4天，没有任何质量问题，出售是因为手里急需用钱没办法 )。。算是全新机，发票保修单一应俱全。vivo专卖店里送的小音响，自拍杆也没有拆封过。。顺电和vivo官网的售价是3498(有发票证明)，现3350元出售，便宜150就算是我这几天使用的折旧费吧。。另外本人自己购买的两个钢化膜，一个高清膜和手机壳也可以打包一起送出。手机壳当初买的也要50多，所有的算下来您只赚不赔。。再次保证，机子本身没有任何问题，可以去售后检测。。想要的私信我或者加我qq297874024\t深圳本地的朋友可以当面验收交易！！！\t下图为手机实物图，发票单证明，各种赠送礼品。。,百度贴吧,VPAD0284E001,质量好
201701bbs0001331,x9plus系统升级后待机明显变短 x9plus系统升级后待机明显变短，有没有办法恢复原来系统,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0001336,vivox9续航能力的问题 新买的机子，为何聊qq只能聊3个小时？,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0001339,入了大厂坑。 我为人老实，不爱说话。用了2年的6p掉洗衣机里甩报废了。本想换一台性价比高的手机，考虑了两天准备去手机店里看一台s7，没打算买，就是做一个价格比较，看在那里买划算。刚进店里三个女的拿出好几部vivo手机往我手里塞，让我体验，轮番对我进行开导工作。说的天花乱坠。vivo有实力，明星都在用，好手机像素好，时尚拿出去有面子。我根本连说话的机会都没有，一直是拿上一台吧，拿上一台吧。最后被彻底洗脑，2988拿了一台深空灰版的vivox9i。送了我一个暖壶和一个洗脸盆。买回家后就后悔八辈，各种迟钝，卡屏，拖影。打开一个微信或者游戏要等两三秒。跑分更是比百元机还低。朋友见了都说这是高仿iphone7各种调侃。我觉得大厂的这些推销人才，都踏马干过传销。,百度贴吧,VPAD0002E001,其他慢/卡顿(需备注程序名及重现步骤)
201701bbs0001382,vivox9 又要更新系统求助 到底要不要更新 之前更新后耗电快了好多，这次又要更新到底要不要更新,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0001388, vivox9手机后台高耗电关闭了，自己还耗电，大家也这样么，在线求,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0001394,vivox9plus耗电太快 x9plus待机一夜不到就耗了10个电。。且后台程序关了？就开着WiFi.求助正常不,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0001397,vivo x9 plus 个人使用感受 本人真的是第一次买vivo手机，我的第一台智能手机是：亿通T770，第二台是酷派大神F1，第三台是三星C1116，第四台是现在的：vivo x9 plus。现在的vivo和oppo在县市级的城镇都比较火，我妈去年买了一台oppo r7s plus，也是在这个亲戚这里买的，我也用了一下感觉音质对我来说，的确达不到我的要求。加上我今年又喜欢上了听歌，对音质也有那么一点点要求。自己之前的手机用了2年了也想换了，毕竟我之前的手机是三星C1116才2G运存，性能和音质都有点落后了，不过十倍光学变焦，氙气闪光灯在手机拍照方面仍然不落后。现在这款手机我已经在闲鱼上架了。\t好吧，话说买东西都是冲动才会买，所以2017年1月21号那天一时冲动就到亲戚开的移动营业厅拿了一台vivo x9 plus回家，因为亲戚的关系，所以优惠不少。用了这几天感觉也还可以，个人的使用体会评价在中等偏上。\t.\t总体配置方面： vivo x9 plus 的6G运存没得说，开机后查看系统自占内存1.63G左右，能够使用的实际内存在4.37G左右，如果长时间运行很多程序，虽然手动都关闭，但这时可能实际可用内存在接近3.93G，重启后又恢复到4.37G可用内存。虽然骁龙653 没能比骁龙820优越，但是也仅次于它了。\t自拍拍照方面还是可以的，自拍就不用说了，不错的。我还试了下后置摄像头在晚上不开灯的房间里拍照效果和开灯后拍的差不多，因为我之前用的是三星C1116拍照手机，所以拍照来说，还是可以的，音质当然没得说了，有双音乐芯片的手机不管是外放还是带耳机听歌明显比我妈用的OPPO r7s puls听着要舒服，特别是听人声口水歌曲要有韵味些。手机推力还可以，大多数的入耳式耳机不是问题，我试过用阻抗32 灵敏度106的头戴式耳机，音量开到6-7层足够了。\t我平常也玩手游，现在玩火炬之光，之前的三星C1116也能玩，但是有时会出现玩十来分钟闪退，一看是内存占比80%以上了，而且这款游戏是比较费电的。用vivo x9 plus玩了3天没有出现闪退的卡的现象，我一玩都是一两个小时把任务都做完了没有体力才下。 王者荣耀我也玩了下，fps帧率在29-30之间稳定，没有出现卡过也没有闪退，家里是铁通宽带，下载速度是1m/s 左右。\t最后说下有一个不满意的方面，应该是vivo x9 plus这款手机屏幕的不足也可以说是不算质量问题的问题。这款手机的IPS屏幕既是它的卖点和优点，但也存在不完美的缺点。就是在冬天气温低的时候，在白色背景，黑色字体的界面，比如：逛淘宝，微博，手指只要轻轻触摸到屏幕就会出现黑色字体颜色变淡，如果手指滑动一下抬起，在界面惯性滑动的过程中整个黑色字体是有一点模糊的，看久了会头晕，不过滑动停止后又立刻恢复正常，好比人坐在火车里看离的车窗最近的树木一样。我用我妈的oppo r7s plus 和我的三星C1116 对比过，没有这种情况。另外在VIVO官网论坛里也有一些人反映屏幕存在这种情况，我前天去当地另一个联通的营业厅看了一台vivo x9 plus，我看了一下确实和我的一样，说明确实有这个情况，但是现在我也有一点适应了，另外在网上找到数码多一篇文章中提到过vivo x9 plus屏幕特性一段话：\tvivo x9 plus使用上发现这么几个比较满意的设置：\t1.音乐hifi 支持除手机自带的音乐播放软件外，还可以手动设置支持酷狗等其他几款音乐软件。\t2.指纹解锁反应灵敏，速度快。可以设置手机home键双击两下开手电筒\t3.手机内置视频录制，主页从下往上滑动即可看到，可以录制视频网站主播直播一些精彩的画面，录制后的画面清晰度和原直播几乎一样。\t4.手机自带程序：相册，可以把里面的2个相册文件夹里面的图片 相互之间 随意复制移动粘贴删除。\t5.手机内的 文件管理 程序，可以直观看到内置储存空间里的全部文件夹，可以随意复制移动剪切把一个视频或者音乐文件，移动到另一个文件夹里。\t6.手机自带：应用商店，安装每一个程序都会自动关闭自启动和相互间的关联启动，这样一来可以大大减少安卓手机软件程序自启和后台占用的手机运存。\t7.在腾讯的聊天软件里可以设置分屏，三根手指向下滑动开启。\t总结一下：虽然vivo x9 plus被很多人说是高价低配，说的应该是处理器骁龙653，如果换成骁龙820呢？可能又会被说就算换了820也不值3500这个价，或者说买这个手机还不如买iphone6 plus 16G的。好吧，我只能说萝卜白菜各有所爱，每款手机都有自己的特点和不足，iphone也不例外。自己喜欢就好，我想也没有值不值得一说，iphone成本几年前有人计算过吗？也就1千多块，iphone发言人直接说卖的不是成本是技术。国产安卓手机最近这一两年来突飞猛进，反正我个人是习惯用安卓手机，没有iphone那样多的限制，我喜欢自由。我喜欢把电脑下的视频图片随意轻松的通过数据线或者企鹅软件，在或者手机助手一类的软件复制到手机里，简单方便。\t对了，vivo x9 plus 5.88寸和我妈的oppo r7s plus 6寸对比，没有oppo的宽，但是比它长一点，屏幕vivo偏冷，oppo偏暖，放在一起对比很明显能区分色彩走向。,百度贴吧,VPAD0082E002,拍照效果好
201701bbs0001411,x9大神门进来 今天刚入手了x9 别的都行 电量怎么直接用不住,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0001431, 系统什么时候再会更新啊！！ 这系统掉电厉害。 触屏反馈震动时有时无。 无语啊。,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0001438,问一下，你们电池几个月后掉电快? 手机买来3.4个月x7p ，现在感觉掉电好快!早晨100，下午不怎么用就还剩下10%去维修点管检测电池?,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0001449,电池跟小米比弱爆了，充的快跑的更快。 就是这样。,百度贴吧,VPAD0165E001,充电快
201701bbs0001510, 你们的X7卡吗？我的怎么有点卡,百度贴吧,VPAD0002E001,其他慢/卡顿(需备注程序名及重现步骤)
201701bbs0001520,刚买的9p，，感觉。。。 快手表情有一个新出的不能用，不能加背景音乐。一加就卡！！！！信号一点也不好。。是系统坏了吗？手机不是假的。翻新更不可能。是新手机对软件不兼容？,百度贴吧,VPAD0002E001,其他慢/卡顿(需备注程序名及重现步骤)
201701bbs0001522,那个我问一下啊 就是我的X9我买来的时候那个电池可以管两天，但是一充电之后就只能管一天了？这是怎么回事？,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0001533, 请问售后能把手机降级到出厂时版本吗？实在是太费电了,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0001534,大家的x9电量能用多久啊 还有充电多久充满呢，我发现我的电量用得好快,百度贴吧,VPAD0101E002,待机或使用时间短
201701bbs0001581,你们的x9计算器用着怎么样啊？ 为什么我的用着反应特别慢，是需要更改什么东西才可以变快吗？,百度贴吧,VPAD0002E001,其他慢/卡顿(需备注程序名及重现步骤)
